"filename", "language", "PHP", "JavaScript", "SCSS", "Markdown", "CSS", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\Projet_fin_d_etude\config\session.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 147, 33, 202
"c:\xampp\htdocs\Projet_fin_d_etude\config\view.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 20, 7, 37
"c:\xampp\htdocs\Projet_fin_d_etude\database\factories\PostFactory.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 8, 4, 26
"c:\xampp\htdocs\Projet_fin_d_etude\database\factories\UserFactory.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 27, 5, 65
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 10, 4, 44
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_03_31_150630_create_posts_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_05_145109_create_follows_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 10, 4, 38
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_06_173911_create_post_likes_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 10, 4, 38
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_06_194227_create_post_comments_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 10, 4, 39
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_08_120915_create_post_reports_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 10, 4, 38
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_08_133827_create_profile_reports_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 10, 4, 38
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_08_152438_create_comment_likes_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 10, 4, 38
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_09_195158_create_user_documents_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_17_222805_create_modules_table.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 10, 4, 42
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_21_003445_create_module_categories_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 10, 4, 36
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_21_231543_create_category_documents_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_23_000254_create_etudient_modules_table.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 10, 4, 41
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_23_153523_create_module_questions_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 10, 4, 39
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_25_140542_create_question_reactions_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 10, 4, 38
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_30_163535_create_question_reponses_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 10, 4, 36
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_06_05_142719_create_categories_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_06_05_142940_create_documents_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\Projet_fin_d_etude\database\seeders\DatabaseSeeder.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 5, 4, 20
"c:\xampp\htdocs\Projet_fin_d_etude\lang\en.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\xampp\htdocs\Projet_fin_d_etude\lang\en\auth.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 10, 5, 21
"c:\xampp\htdocs\Projet_fin_d_etude\lang\en\pagination.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\xampp\htdocs\Projet_fin_d_etude\lang\en\passwords.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\Projet_fin_d_etude\lang\en\validation.php", "PHP", 124, 0, 0, 0, 0, 0, 0, 0, 30, 9, 163
"c:\xampp\htdocs\Projet_fin_d_etude\lang\fr.json", "JSON", 0, 0, 0, 0, 0, 725, 0, 0, 0, 1, 726
"c:\xampp\htdocs\Projet_fin_d_etude\lang\fr\auth.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 10, 3, 19
"c:\xampp\htdocs\Projet_fin_d_etude\lang\fr\pagination.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 10, 3, 18
"c:\xampp\htdocs\Projet_fin_d_etude\lang\fr\passwords.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 10, 3, 21
"c:\xampp\htdocs\Projet_fin_d_etude\lang\fr\validation-inline.php", "PHP", 124, 0, 0, 0, 0, 0, 0, 0, 10, 3, 137
"c:\xampp\htdocs\Projet_fin_d_etude\lang\fr\validation-nova-inline.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 10, 3, 18
"c:\xampp\htdocs\Projet_fin_d_etude\lang\fr\validation-nova.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 10, 3, 18
"c:\xampp\htdocs\Projet_fin_d_etude\lang\fr\validation.php", "PHP", 124, 0, 0, 0, 0, 0, 0, 0, 10, 3, 137
"c:\xampp\htdocs\Projet_fin_d_etude\package-lock.json", "JSON", 0, 0, 0, 0, 0, 16348, 0, 0, 0, 1, 16349
